3WISE,3wise
ALTEQ,alteq
Ascon-Sign,ascon
AIMer,aimer
Biscuit,biscuit
CROSS,cross
DME-Sign,dme
EagleSign,eagle
EHT,eht
eMLE-Sig 2.0,emle
Enhanced pqsigRM,pqsigRM
FAEST,faest
FuLeeca,fuleeca
HAETAE,haetae
HAWK,hawk
HPPC,hppc
HuFu,hufu
KAZ-SIGN,kaz
LESS,less
MAYO,mayo
MEDS,meds
MIRA,mira
MiRitH,mirith
MQOM,mqom
PERK,perk
Preon,preon
PROV,prov
QR-UOV,qruov
Raccoon,raccoon
RYDE,ryde
SDitH,sdith
SNOVA,snova
SPHINCS-alpha,sphincs-alpha
SQIsign,sqisign
SQUIRRELS,squirrels
TUOV,tuov
UOV,uov
VOX,vox
Wave,wave
Xifrat1-Sign.I,xifrat
